Edward Herrmann,Dr. Norman Shales,3,2007
Kimberly Elise,Dr. Swender,3,2009
Roger Rees,Dr. Colin Marlow,3,2007
Shannon Lucio,Amanda,3,2009
Eric Stoltz,William Dunn,3,2009
Tom Irwin,Marty Hancock,3,2010, 2011
Jennifer Westfeldt,Jen Harmon,3,2009
Taye Diggs,Dr. Sam Bennett,3,2007, 2009
Ben Shenkman,Rob Harmon,3,2009
Samantha Mathis,Melinda Prescott,3,2009
Joyce Guy,Ms. Henry,3,2005, 2007
Ryan Devlin,Bill Portman,3,2010
Enid Graham,Rachel Dawson,3,2013
Tsai Chin,Helen Rubenstein,3,2005, 2007
Mandy Siegfried,Molly Thompson,3,2006, 2007
Mary McDonnell,Dr. Virginia Dixon,3,2008, 2009
Kerri Higuchi,Dr. Elizabeth Chen,3,2005, 2010
Meeghan Holaway,Doctor's Rep,3,2012, 2013
Jennifer Bassey,Nancy Dawson,3,2013
Helene McCardle,ER Doc,3,2005, 2006
Jon Schmidt,Intern Logan,3,2011, 2012
Phil Abrams,Dr. Jim Nelson,3,2009, 2010
Aaron Refvem,Jackson Prescott,3,2009
Jack Axelrod,Really Old Guy,3,2006, 2007
Miguel Nájera,Janitor Mike,3,2008, 2012
Marty Lodge,Dr. Milton,3,2005, 2010
Melissa Center,Ashley Glazier,3,2013
JD Cullum,Lloyd,3,2013, 2014
Jela K. Moore,Zola,3,2012, 2013
Christina Ricci,Hannah Davies,2,2006
Neve Campbell,Lizzie Shepherd,2,2012
Margaret Welsh,Dorie Russell,2,2005
Anna Maria Horsford,Liz Fallon,2,2005, 2007
Curtis Armstrong,Robert Martin,2,2005
Paul Adelstein,Dr. Cooper Freedman,2,2007
Pat Healy,Tom Russell,2,2005
Jillian Armenante,Mindy Carlson,2,2006
Martha Plimpton,Pam Michaelson,2,2009
LisaGay Hamilton,Dr. Connie Ryan,2,2013
Eddie Jemison,Stan Grossberg,2,2013
Monica Keena,Bonnie Crasnoff,2,2005, 2007
Amy Brenneman,Dr. Violet Turner,2,2007
Gale Morgan Harold III,Shane,2,2007
Mariette Hartley,Betty Kenner,2,2008
Tessa Thompson,Camille Travis,2,2006
Tim Daly,Dr. Pete Wilder,2,2007
Dean Norris,Vince,2,2007
Frankie Faison,William Bailey,2,2009, 2013
Hallee Hirsh,Claire,2,2006
Clea DuVall,Jennifer Robinson,2,2008
Ron Perkins,Roy Henley,2,2010
Kelly Wolf,Carly Height,2,2007
Cliff De Young,Phil Loomis,2,2008
Mackenzie Astin,Danny Wilson,2,2011
Tiffany Hines,Natalie,2,2006
Dylan Bruno,Griffith Lewis,2,2011, 2012
Summer Glau,Nurse Emily Kovach,2,2012
Veronica Cartwright,Lydia Ashford,2,2013
John Billingsley,Jacob Nolston,2,2007
Aasha Davis,Rina,2,2007
